covNorm,nmdGate,selection,reach_mean,reach_std,success,hold,networks
none,0,none,18.420,0,1.000,0,0
det,1.5,nmd,4.573,0.637,1.000,0.964,9.7
det,2,nmd,4.393,0.427,1.000,0.965,9.3
det,Inf,nmd,4.773,0.903,1.000,0.968,8.3
plain,1.5,nmd,5.413,2.412,1.000,0.639,9.7
plain,2,nmd,5.183,1.302,1.000,0.611,9.3
plain,Inf,nmd,5.257,2.065,1.000,0.687,8.3
diag,1.5,nmd,5.297,1.944,1.000,0.682,9.0
diag,2,nmd,5.167,1.019,1.000,0.674,8.7
diag,Inf,nmd,5.273,1.869,1.000,0.674,8.3
trace,1.5,nmd,4.463,0.495,1.000,0.964,9.7
trace,2,nmd,4.260,0.226,1.000,0.959,9.3
trace,Inf,nmd,4.500,0.668,1.000,0.962,8.3
trace,2,nmd,4.260,0.226,1.000,0.959,9.3
trace,2,level,4.813,0.258,1.000,0.968,9.3
