16-Aug-2026 03:40:44 | Trial 1/60 | record 1 | sigma_noise = 0 | realization 1/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 9.1 | elapsed = 0.2 min | ETA = 9.5 min
16-Aug-2026 03:41:40 | Trial 2/60 | record 41 | sigma_noise = 0.5 | realization 1/10 | success = 1 | crossings = 22 | steps = 24847 | retargets = 16 | seconds = 64.8 | elapsed = 1.1 min | ETA = 31.7 min
16-Aug-2026 03:42:44 | Trial 3/60 | record 31 | sigma_noise = 0.1 | realization 1/10 | success = 0 | crossings = NaN | steps = 68855 | retargets = 45 | seconds = 129.1 | elapsed = 2.2 min | ETA = 41.1 min
16-Aug-2026 03:42:56 | Trial 4/60 | record 11 | sigma_noise = 0.01 | realization 1/10 | success = 0 | crossings = NaN | steps = 81152 | retargets = 53 | seconds = 140.8 | elapsed = 2.4 min | ETA = 33.0 min
16-Aug-2026 03:43:14 | Trial 5/60 | record 51 | sigma_noise = 1 | realization 1/10 | success = 0 | crossings = NaN | steps = 83597 | retargets = 55 | seconds = 158.7 | elapsed = 2.7 min | ETA = 29.2 min
16-Aug-2026 03:43:16 | Trial 6/60 | record 21 | sigma_noise = 0.05 | realization 1/10 | success = 0 | crossings = NaN | steps = 92733 | retargets = 61 | seconds = 160.7 | elapsed = 2.7 min | ETA = 24.2 min
16-Aug-2026 11:44:35 | Trial 7/60 | record 5 | sigma_noise = 0 | realization 5/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 9.1 | elapsed = 0.2 min | ETA = 1.4 min
16-Aug-2026 11:44:36 | Trial 8/60 | record 2 | sigma_noise = 0 | realization 2/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 9.4 | elapsed = 0.2 min | ETA = 1.3 min
16-Aug-2026 11:44:37 | Trial 9/60 | record 3 | sigma_noise = 0 | realization 3/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.7 | elapsed = 0.2 min | ETA = 1.2 min
16-Aug-2026 11:44:39 | Trial 10/60 | record 4 | sigma_noise = 0 | realization 4/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 9.9 | elapsed = 0.2 min | ETA = 1.2 min
16-Aug-2026 11:44:40 | Trial 11/60 | record 6 | sigma_noise = 0 | realization 6/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.6 | elapsed = 0.3 min | ETA = 1.2 min
