17-Aug-2026 00:29:12 | Trial 1/110 | record 3 | sigma_noise = 0 | realization 3/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 9.3 | elapsed = 0.2 min | ETA = 19.2 min
17-Aug-2026 00:29:12 | Trial 2/110 | record 1 | sigma_noise = 0 | realization 1/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.1 | elapsed = 0.2 min | ETA = 9.9 min
17-Aug-2026 00:29:12 | Trial 3/110 | record 2 | sigma_noise = 0 | realization 2/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.2 | elapsed = 0.2 min | ETA = 6.7 min
17-Aug-2026 00:29:13 | Trial 4/110 | record 4 | sigma_noise = 0 | realization 4/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.2 | elapsed = 0.2 min | ETA = 5.1 min
17-Aug-2026 00:29:13 | Trial 5/110 | record 5 | sigma_noise = 0 | realization 5/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.1 | elapsed = 0.2 min | ETA = 4.2 min
17-Aug-2026 00:29:13 | Trial 6/110 | record 6 | sigma_noise = 0 | realization 6/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.1 | elapsed = 0.2 min | ETA = 3.6 min
17-Aug-2026 00:29:14 | Trial 7/110 | record 7 | sigma_noise = 0 | realization 7/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 10.0 | elapsed = 0.2 min | ETA = 3.2 min
17-Aug-2026 00:29:18 | Trial 8/110 | record 8 | sigma_noise = 0 | realization 8/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 5.5 | elapsed = 0.3 min | ETA = 3.7 min
17-Aug-2026 00:29:19 | Trial 9/110 | record 9 | sigma_noise = 0 | realization 9/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 5.8 | elapsed = 0.3 min | ETA = 3.3 min
17-Aug-2026 00:29:20 | Trial 10/110 | record 10 | sigma_noise = 0 | realization 10/10 | success = 1 | crossings = 3 | steps = 6099 | retargets = 4 | seconds = 5.8 | elapsed = 0.3 min | ETA = 3.1 min
17-Aug-2026 00:32:11 | Trial 11/110 | record 12 | sigma_noise = 0.01 | realization 2/10 | success = 1 | crossings = 52 | steps = 72133 | retargets = 47 | seconds = 177.0 | elapsed = 3.2 min | ETA = 28.5 min
