Mode,SigmaNoise,SuccessFraction,MeanControlledCrossings,MedianControlledCrossings,MeanFinalTargetError,StdFinalTargetError,MeanRetargetingEvents,NumIntegrationFailures,MeanComputationalTime
sectionRetargetMode,0,1,3,3,0.00208516827873595,0,3,0,0.53805123
sectionRetargetMode,0.01,0.4,35.5,42,0.78185480822254,1.00979381542121,50.8,0,43.00259118
sectionRetargetMode,0.03,0.5,19,10,0.570738112044033,0.774826466014683,40,0,32.42543561
sectionRetargetMode,0.05,0.1,25,25,0.53977062274352,0.648190834381247,57.4,0,49.13062208
sectionRetargetMode,0.075,0.3,9,5,1.21989876414432,1.32209447172769,45.4,0,36.15174673
sectionRetargetMode,0.1,0,NaN,NaN,1.79834953054334,1.1477224136053,61,0,68.27016459
sectionRetargetMode,0.15,0.2,15.5,15.5,0.819102021842282,0.64637769683091,51.9,0,41.91033628
sectionRetargetMode,0.2,0.1,49,49,1.10103842611532,1.03654480631966,59.8,0,53.60458478
sectionRetargetMode,0.3,0.1,35,35,1.75845813754221,1.59813405355767,58.4,0,47.54306258
sectionRetargetMode,0.5,0.1,56,56,2.7801205626593,1.77402678574174,60.5,0,53.5416104
sectionRetargetMode,1,0.2,41.5,41.5,3.81496911142392,4.34296719850134,57.1,0,52.69369556
