Mode,SigmaNoise,Successes,TotalTrials,SuccessFraction,WilsonLower95,WilsonUpper95,MeanCrossingsToTargetAmongSuccesses,MedianCrossingsToTargetAmongSuccesses,MeanAcceptedCrossingsAllTrials,MeanFinalTargetError,MedianFinalTargetError,StdFinalTargetError,MeanRk4Steps,MeanPhysicalTime,MeanRetargetingEvents,MedianRetargetingEvents,MeanCompleteBisectionSearches,MeanRetargetingFailures,NumIntegrationFailures,NumStepBudgetExhaustions,NumAcceptedCrossingLimitExhaustions,NumRejectedCrossingLimitExhaustions,MeanComputationalTime
paperCycleCadenceRetargetMode,0,10,10,1,0.722467200137112,1,3,3,3,9.34919558783776e-05,9.34919558783776e-05,0,6099,6.09861910172454,4,4,5,0,0,0,0,0,8.71494225
paperCycleCadenceRetargetMode,0.01,3,10,0.3,0.107791267406301,0.603221852538854,47,52,56.1,0.812725401823708,0.815842540603391,0.762290235382712,79555.7,62.9710969023168,51.7,52,52.7,0,0,0,7,0,185.20025594
paperCycleCadenceRetargetMode,0.03,4,10,0.4,0.168180329706236,0.687326230266341,34,34,49.6,0.902159105521945,0.974040470427119,0.870551675427424,72922.3,47.8423929680472,47.5,53.5,48.5,0.1,0,0,6,0,170.17472727
paperCycleCadenceRetargetMode,0.05,4,10,0.4,0.168180329706236,0.687326230266341,33.75,31.5,49.5,1.17649233626467,0.73570200826571,1.31740274462184,71723.3,45.674055689509,46.7,50.5,47.7,1.4,0,0,6,0,151.71940737
paperCycleCadenceRetargetMode,0.075,3,10,0.3,0.107791267406301,0.603221852538854,47,53,56.1,0.970734523680373,0.814794839777711,0.998012613797526,77017.5,56.2522848386011,50.1,49.5,51.1,1.7,0,0,7,0,160.34491127
paperCycleCadenceRetargetMode,0.1,3,10,0.3,0.107791267406301,0.603221852538854,24.6666666666667,12,49.4,1.74765076817105,1.85130155862485,1.68564776741432,65278.4,37.5545104001425,42.6,51.5,43.6,2.2,0,0,7,0,140.31293455
paperCycleCadenceRetargetMode,0.15,1,10,0.1,0.017876213095073,0.404150026795238,38,38,57.8,1.14311292817601,1.06365811288312,0.996432552392018,77590,54.5100241842675,50.5,51,51.5,2.1,0,0,9,0,178.20500089
paperCycleCadenceRetargetMode,0.2,0,10,0,0,0.277532799862888,NaN,NaN,60,2.44576412354139,2.22854295610052,1.66380496061017,84864.1,NaN,55.4,57.5,56.4,3.5,0,0,10,0,199.30899925
paperCycleCadenceRetargetMode,0.3,0,10,0,0,0.277532799862888,NaN,NaN,60,2.16951497484231,2.12680347527229,1.60301851058454,85241.3,NaN,55.7,53.5,56.7,3.5,0,0,10,0,210.1456379
paperCycleCadenceRetargetMode,0.5,0,10,0,0,0.277532799862888,NaN,NaN,60,2.15095902646279,1.82285316202069,1.78912883445241,85513.2,NaN,55.6,54,56.6,3.2,0,0,10,0,201.28295137
paperCycleCadenceRetargetMode,1,1,10,0.1,0.017876213095073,0.404150026795238,59,59,59.9,4.7853901070499,4.35994548814245,3.82633697852772,71292.7,73.5492544625399,46.4,46,47.4,3.6,0,0,9,0,142.92440424
