SourceIndex,SourceX,Method,HitFound,ReplayHit,SelectedP,AbsoluteP,Horizon,FinalTargetError,ReplayTargetError,ParameterEvaluations,CrossingPropagations,FinalBracketBisectionIterations,TotalBisectionIterations,GridEvaluations,SearchTime,SelectionMethod,FailureCode,FailureReason,DiscontinuitiesDetected,DiscontinuityReductions,ContinuousIntervalsExamined,CrossingSignatureEvaluations,CertifiedParameterResolution,ParameterResolutionFloorReached,IntervalBudgetExhausted,ReplayDivergence
102,15.2681165805571,shinbrotPaperBisection,1,1,-0.0151770547032356,0.0151770547032356,3,3.09793612984777e-09,3.09796099884352e-09,34,299,24,26,0,1.412927,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,2,2,4,34,NaN,0,0,2.48689957516035e-14
102,15.2681165805571,hybridGridBisection,1,1,-0.015,0.015,3,0.00426123535646461,0.00426123535646461,270,567,0,27,243,11.0750184,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
106,12.0454343189568,shinbrotPaperBisection,1,1,-0.0764311602339149,0.0764311602339149,5,1.51928798430845e-08,1.51920822588636e-08,42,360,24,30,0,2.0399531,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,6,6,6,42,NaN,0,0,7.97584220890712e-13
106,12.0454343189568,hybridGridBisection,1,1,0.019375,0.019375,5,0.000434926320034279,0.000434926320034279,516,1770,2,111,405,16.2685404,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
116,11.2968925665502,shinbrotPaperBisection,1,1,-0.00841941237449646,0.00841941237449646,6,3.31062732783494e-08,3.31063052527725e-08,38,228,24,24,0,1.1368838,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,0,0,6,38,NaN,0,0,3.19744231092045e-14
116,11.2968925665502,hybridGridBisection,1,1,-0.0075,0.0075,6,0.00690313698743417,0.00690313698743417,487,1707,0,1,486,9.6420322,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
117,11.62969458532,shinbrotPaperBisection,1,1,-0.0110784828662872,0.0110784828662872,5,2.55018441919219e-08,2.55018370864946e-08,36,190,24,24,0,0.7718859,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,0,0,5,36,NaN,0,0,7.105427357601e-15
117,11.62969458532,hybridGridBisection,1,1,-0.01,0.01,5,0.00615477199366055,0.00615477199366055,406,1220,0,1,405,6.0786807,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
118,12.0309342963291,shinbrotPaperBisection,1,1,-0.0156742870807648,0.0156742870807648,4,3.98733135398288e-09,3.98739352647226e-09,34,154,24,24,0,0.6681265,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,0,0,4,34,NaN,0,0,6.21724893790088e-14
118,12.0309342963291,hybridGridBisection,1,1,-0.015,0.015,4,0.0027218295007394,0.0027218295007394,325,814,0,1,324,5.7444821,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
124,12.1487021105682,shinbrotPaperBisection,1,1,-0.0991718150675297,0.0991718150675297,4,2.77222351741102e-08,2.77206542165231e-08,37,289,24,27,0,1.7559413,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,3,3,4,37,NaN,0,0,1.58095758706622e-12
124,12.1487021105682,hybridGridBisection,1,1,-0.0309375,0.0309375,4,0.00155279364926919,0.00155279364926919,379,1030,3,55,324,9.5367839,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
136,11.4188223534022,shinbrotPaperBisection,1,1,0.01512670814991,0.01512670814991,6,1.05125455007737e-08,1.05126414240431e-08,40,276,24,26,0,1.4423826,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,2,2,7,40,NaN,0,0,9.59232693276135e-14
136,11.4188223534022,hybridGridBisection,1,1,0.015,0.015,6,0.00242356030808111,0.00242356030808111,513,1863,0,27,486,10.6699251,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
137,11.7802272230246,shinbrotPaperBisection,1,1,0.0203470677137375,0.0203470677137375,5,3.46779724935686e-08,3.46779991389212e-08,38,235,24,26,0,1.1780182,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,2,2,5,38,NaN,0,0,2.66453525910038e-14
137,11.7802272230246,hybridGridBisection,1,1,0.02,0.02,5,0.00493808803828166,0.00493808803828166,431,1345,0,26,405,8.3213789,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
143,11.2579193540953,shinbrotPaperBisection,1,1,-0.082898360490799,0.082898360490799,7,4.41064038625427e-08,4.41063185974144e-08,40,270,24,24,0,1.093926,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,0,0,7,40,NaN,0,0,8.5265128291212e-14
143,11.2579193540953,hybridGridBisection,1,1,-0.0825,0.0825,7,0.00518601731353918,0.00518601731353918,569,2282,0,2,567,9.8644071,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
144,11.5822251656391,shinbrotPaperBisection,1,1,0.0141066998243332,0.0141066998243332,7,3.48392426019473e-09,3.48390649662633e-09,42,289,24,26,0,1.1897819,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,2,2,7,42,NaN,0,0,1.77635683940025e-14
144,11.5822251656391,hybridGridBisection,1,1,0.01375,0.01375,7,0.00587412906037876,0.00587412906037876,592,2443,1,25,567,26.3602608,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
148,11.7280320058847,shinbrotPaperBisection,1,1,0.0824582315981388,0.0824582315981388,5,3.1149118839835e-08,3.11500993888103e-08,64,445,24,52,0,3.0916415,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,29,28,28,64,NaN,0,0,9.80548975348938e-13
148,11.7280320058847,hybridGridBisection,1,1,0.00796875,0.00796875,5,0.0014674746905694,0.0014674746905694,631,2321,4,226,405,23.2588027,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
149,12.178282426431,shinbrotPaperBisection,1,1,0.0517434202134609,0.0517434202134609,4,3.78806781498042e-08,3.78802091915986e-08,63,422,24,53,0,2.119833,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,30,29,27,63,NaN,0,0,4.68958205601666e-13
149,12.178282426431,hybridGridBisection,1,1,0.0115625,0.0115625,4,0.00289892081235443,0.00289892081235443,523,1582,3,199,324,20.7205881,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
152,15.3752001019122,shinbrotPaperBisection,1,1,0.0754764657467604,0.0754764657467604,2,1.17383809339344e-08,1.17406493416183e-08,62,608,24,56,0,4.7228427,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,33,32,25,62,NaN,0,0,2.26840768391412e-12
152,15.3752001019122,hybridGridBisection,1,1,0.01140625,0.01140625,2,0.00427232145622014,0.00427232145622014,354,603,4,192,162,17.2955386,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
153,16.4598762062691,shinbrotPaperBisection,1,1,-0.0933315575122833,0.0933315575122833,1,1.59129847077111e-08,1.5919201956649e-08,28,420,24,24,0,1.2221975,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,0,0,1,28,NaN,0,0,6.21724893790088e-12
153,16.4598762062691,hybridGridBisection,1,1,-0.0925,0.0925,1,0.0067859462916644,0.0067859462916644,82,82,0,1,81,3.5948292,grid-first verified direct grid hit,none,,0,0,0,0,NaN,0,0,0
157,11.5440326919661,shinbrotPaperBisection,1,1,0.0879462825134397,0.0879462825134397,5,4.46405277187978e-08,4.4643234886621e-08,67,595,24,55,0,2.4490651,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,32,31,29,67,NaN,0,0,2.70716782324598e-12
157,11.5440326919661,hybridGridBisection,1,1,0.0702197265625,0.0702197265625,5,0.000999549953309753,0.000999549953309753,574,2036,9,169,405,16.2174121,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
158,11.9383355468849,shinbrotPaperBisection,1,1,0.0956906529929256,0.0956906529929256,4,6.28350704801051e-09,6.27703400368773e-09,71,811,24,61,0,2.7822216,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,38,37,28,71,NaN,0,0,6.47304432277451e-12
158,11.9383355468849,hybridGridBisection,1,1,0.09953857421875,0.09953857421875,5,0.000180526225118882,0.000180526225118882,463,1457,10,58,405,11.9250285,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
161,10.9620996747553,shinbrotPaperBisection,1,1,0.0399736545979977,0.0399736545979977,7,1.16915064296563e-08,1.16931744287285e-08,69,557,24,53,0,2.4171987,Shinbrot paper bisection with crossing-order discontinuity reduction,none,,30,29,30,69,NaN,0,0,1.66799907219684e-12
161,10.9620996747553,hybridGridBisection,1,1,-0.010625,0.010625,7,0.00479547281882375,0.00479547281882375,815,3980,2,248,567,26.7372236,grid-first verified adjacent-grid bracket bisection,none,,0,0,0,0,NaN,0,0,0
