SourceIndex,SourceX,ShinbrotHit,HybridHit,ShinbrotReplayHit,HybridReplayHit,ShinbrotP,HybridP,ShinbrotAbsoluteP,HybridAbsoluteP,AbsolutePDifference,ShinbrotHorizon,HybridHorizon,ShinbrotFinalTargetError,HybridFinalTargetError,ShinbrotReplayTargetError,HybridReplayTargetError,SameHorizon,BothReplayHit,SmallerMagnitudeMethod
102,15.2681165805571,1,1,1,1,-0.0151770547032356,-0.015,0.0151770547032356,0.015,-0.000177054703235627,3,3,3.09793612984777e-09,0.00426123535646461,3.09796099884352e-09,0.00426123535646461,1,1,hybrid
106,12.0454343189568,1,1,1,1,-0.0764311602339149,0.019375,0.0764311602339149,0.019375,-0.0570561602339149,5,5,1.51928798430845e-08,0.000434926320034279,1.51920822588636e-08,0.000434926320034279,1,1,hybrid
116,11.2968925665502,1,1,1,1,-0.00841941237449646,-0.0075,0.00841941237449646,0.0075,-0.000919412374496463,6,6,3.31062732783494e-08,0.00690313698743417,3.31063052527725e-08,0.00690313698743417,1,1,hybrid
117,11.62969458532,1,1,1,1,-0.0110784828662872,-0.01,0.0110784828662872,0.01,-0.00107848286628723,5,5,2.55018441919219e-08,0.00615477199366055,2.55018370864946e-08,0.00615477199366055,1,1,hybrid
118,12.0309342963291,1,1,1,1,-0.0156742870807648,-0.015,0.0156742870807648,0.015,-0.000674287080764766,4,4,3.98733135398288e-09,0.0027218295007394,3.98739352647226e-09,0.0027218295007394,1,1,hybrid
124,12.1487021105682,1,1,1,1,-0.0991718150675297,-0.0309375,0.0991718150675297,0.0309375,-0.0682343150675297,4,4,2.77222351741102e-08,0.00155279364926919,2.77206542165231e-08,0.00155279364926919,1,1,hybrid
136,11.4188223534022,1,1,1,1,0.01512670814991,0.015,0.01512670814991,0.015,-0.000126708149909976,6,6,1.05125455007737e-08,0.00242356030808111,1.05126414240431e-08,0.00242356030808111,1,1,hybrid
137,11.7802272230246,1,1,1,1,0.0203470677137375,0.02,0.0203470677137375,0.02,-0.000347067713737492,5,5,3.46779724935686e-08,0.00493808803828166,3.46779991389212e-08,0.00493808803828166,1,1,hybrid
143,11.2579193540953,1,1,1,1,-0.082898360490799,-0.0825,0.082898360490799,0.0825,-0.000398360490798957,7,7,4.41064038625427e-08,0.00518601731353918,4.41063185974144e-08,0.00518601731353918,1,1,hybrid
144,11.5822251656391,1,1,1,1,0.0141066998243332,0.01375,0.0141066998243332,0.01375,-0.000356699824333192,7,7,3.48392426019473e-09,0.00587412906037876,3.48390649662633e-09,0.00587412906037876,1,1,hybrid
148,11.7280320058847,1,1,1,1,0.0824582315981388,0.00796875,0.0824582315981388,0.00796875,-0.0744894815981388,5,5,3.1149118839835e-08,0.0014674746905694,3.11500993888103e-08,0.0014674746905694,1,1,hybrid
149,12.178282426431,1,1,1,1,0.0517434202134609,0.0115625,0.0517434202134609,0.0115625,-0.0401809202134609,4,4,3.78806781498042e-08,0.00289892081235443,3.78802091915986e-08,0.00289892081235443,1,1,hybrid
152,15.3752001019122,1,1,1,1,0.0754764657467604,0.01140625,0.0754764657467604,0.01140625,-0.0640702157467604,2,2,1.17383809339344e-08,0.00427232145622014,1.17406493416183e-08,0.00427232145622014,1,1,hybrid
153,16.4598762062691,1,1,1,1,-0.0933315575122833,-0.0925,0.0933315575122833,0.0925,-0.00083155751228331,1,1,1.59129847077111e-08,0.0067859462916644,1.5919201956649e-08,0.0067859462916644,1,1,hybrid
157,11.5440326919661,1,1,1,1,0.0879462825134397,0.0702197265625,0.0879462825134397,0.0702197265625,-0.0177265559509397,5,5,4.46405277187978e-08,0.000999549953309753,4.4643234886621e-08,0.000999549953309753,1,1,hybrid
158,11.9383355468849,1,1,1,1,0.0956906529929256,0.09953857421875,0.0956906529929256,0.09953857421875,0.00384792122582442,4,5,6.28350704801051e-09,0.000180526225118882,6.27703400368773e-09,0.000180526225118882,0,1,Shinbrot
161,10.9620996747553,1,1,1,1,0.0399736545979977,-0.010625,0.0399736545979977,0.010625,-0.0293486545979977,7,7,1.16915064296563e-08,0.00479547281882375,1.16931744287285e-08,0.00479547281882375,1,1,hybrid
162,11.2307219771018,1,1,1,1,-0.075454737059772,-0.013125,0.075454737059772,0.013125,-0.062329737059772,6,6,1.7870741331194e-08,0.000731362223373111,1.78735408695729e-08,0.000731362223373111,1,1,hybrid
163,11.5253070345885,1,1,1,1,-0.098330656811595,-0.0171875,0.098330656811595,0.0171875,-0.081143156811595,5,5,1.34915243421574e-08,0.00723356065171643,1.34908617610563e-08,0.00723356065171643,1,1,hybrid
164,11.8950982200137,1,1,1,1,0.0885806456208229,-0.02375,0.0885806456208229,0.02375,-0.0648306456208229,4,4,2.57061323338803e-08,0.0048240572867968,2.5704874673238e-08,0.0048240572867968,1,1,hybrid
170,11.5639466490174,1,1,1,1,-0.0104222849011421,-0.01,0.0104222849011421,0.01,-0.000422284901142119,7,7,1.71602163590023e-08,0.00694568676074603,1.71602927423464e-08,0.00694568676074603,1,1,hybrid
171,11.9638439063778,1,1,1,1,-0.0145866096019745,-0.014375,0.0145866096019745,0.014375,-0.000211609601974489,6,6,1.61749369453901e-08,0.0024902578857855,1.61750168814478e-08,0.0024902578857855,1,1,hybrid
174,11.6323163254113,1,1,1,1,0.0932088434696197,0.0925,0.0932088434696197,0.0925,-0.000708843469619747,5,5,1.26980594927772e-08,0.00404810057575489,1.26984662784935e-08,0.00404810057575489,1,1,hybrid
175,12.0522396634205,1,1,1,1,0.0054315522313118,0.005625,0.0054315522313118,0.005625,0.000193447768688201,5,5,1.9539468709695e-08,0.00793038072744601,1.95413019099533e-08,0.00793038072744601,1,1,Shinbrot
182,11.5825085342085,1,1,1,1,-0.0152449548244476,-0.015,0.0152449548244476,0.015,-0.000244954824447632,6,6,4.99953767274519e-08,0.00243011841758012,4.99953625165972e-08,0.00243011841758012,1,1,hybrid
